,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Link,id,namespace,orig_price,fmt_orig_price,tags,seller,taglist,action,adventure,puzzle,rpg,shooter,strategy,survival,osx,windows,singleplayer,multiplayer
348,348,348,129,Wilmot’s Warehouse,8/6/2020,8/13/2020,https://store.epicgames.com/en-US/p/wilmots-warehouse,b5dba5ebbdf84ecaad0edf4f5e026247,f697ab7aa6af41f880e1489818e2720d,1499.0,$14.99,"['1264', '1298', '1370', '9547', '9549', '10719', '1263']",Finji LLC,"[{'id': '1264'}, {'id': '1298'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '10719'}, {'id': '1263'}]",False,False,True,False,False,False,False,False,True,True,False
349,349,349,128,"3 out of 10, EP 1",8/6/2020,8/13/2020,https://store.epicgames.com/en-US/p/3-out-of-10-ep-1,eb38399025864ffb88a7e027d02502a8,d9090f3f39f64d5bb827c6e44b95cff0,0.0,0,"['1216', '1141', '1370', '9547']","Terrible Posture Games, Inc.","[{'id': '1216'}, {'id': '1141'}, {'id': '1370'}, {'id': '9547'}]",True,False,False,False,False,False,False,False,True,True,False
350,350,350,127,20XX,7/30/2020,8/6/2020,https://store.epicgames.com/en-US/p/20xx,14f073a7a4204943b830717c32e2c710,4c7117cadb714722950338f02850fd8d,1499.0,$14.99,"['1188', '21894', '21129', '9547', '1264', '21136', '21138', '21139', '21140', '21141', '1083', '21149', '1151', '21119']",,"[{'id': '1188'}, {'id': '21894'}, {'id': '21129'}, {'id': '9547'}, {'id': '1264'}, {'id': '21136'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1083'}, {'id': '21149'}, {'id': '1151'}, {'id': '21119'}]",False,False,False,False,False,False,False,False,True,False,False
351,351,351,126,Superbrothers: Sword & Sworcery EP,7/30/2020,8/6/2020,https://store.epicgames.com/en-US/p/superbrothers-sword-and-sworcery-ep,a8b9cb3f7f0143bc9366ec7695f7876c,1109b87f323946e5b7883d724e6a22ba,799.0,$7.99,"['21894', '1370', '9547', '1117', '1263']",,"[{'id': '21894'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1263'}]",False,True,False,False,False,False,False,False,True,True,False
352,352,352,125,Barony,7/30/2020,8/6/2020,https://store.epicgames.com/en-US/p/barony,3fb9665744a5404d95de612ddc445f35,b79cdb6e07ea4ce9a82c00a0fb079ca5,1999.0,$19.99,"['21122', '21894', '21127', '21129', '1258', '9547', '1294', '1264', '1265', '21137', '21138', '21139', '21140', '21141', '1370', '21149', '10719']",,"[{'id': '21122'}, {'id': '21894'}, {'id': '21127'}, {'id': '21129'}, {'id': '1258'}, {'id': '9547'}, {'id': '1294'}, {'id': '1264'}, {'id': '1265'}, {'id': '21137'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1370'}, {'id': '21149'}, {'id': '10719'}]",False,False,False,False,False,False,False,False,True,True,False
353,353,353,124,Next Up Hero,7/23/2020,7/30/2020,https://store.epicgames.com/en-US/p/next-up-hero,bc24fd6c82354ae18279e18effaa640e,7563789523404ae7ba52588adc99963a,1999.0,$19.99,"['1216', '1265', '1367', '9547', '9549']",,"[{'id': '1216'}, {'id': '1265'}, {'id': '1367'}, {'id': '9547'}, {'id': '9549'}]",True,False,False,False,False,False,False,False,True,False,False
354,354,354,123,Tacoma,7/23/2020,7/30/2020,https://store.epicgames.com/en-US/p/tacoma,32052e4882be420e8b009f05483f1f23,675f47ac5d5847f59badceea5b0950cf,1999.0,$19.99,"['21894', '1370', '9547', '1117', '1294', '1263', '10719', '15375']",,"[{'id': '21894'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1294'}, {'id': '1263'}, {'id': '10719'}, {'id': '15375'}]",False,True,False,False,False,False,False,False,True,True,False
355,355,355,122,Torchlight II,7/16/2020,7/23/2020,https://store.epicgames.com/en-US/p/torchlight-2,9ca2b214a7b0477cb57fb0975f50043c,8432511ef63b489b843d21ff486a0355,1999.0,$19.99,"['1216', '21122', '1188', '21894', '21127', '9547', '15375', '1264', '1265', '21138', '21139', '21140', '21109', '21141', '1367', '1336', '21147', '21149', '10719', '21119']",,"[{'id': '1216'}, {'id': '21122'}, {'id': '1188'}, {'id': '21894'}, {'id': '21127'}, {'id': '9547'}, {'id': '15375'}, {'id': '1264'}, {'id': '1265'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21109'}, {'id': '21141'}, {'id': '1367'}, {'id': '1336'}, {'id': '21147'}, {'id': '21149'}, {'id': '10719'}, {'id': '21119'}]",True,False,False,False,False,False,False,False,True,False,False
356,356,356,121,Lifeless Planet: Premier Edition,7/9/2020,7/16/2020,https://store.epicgames.com/en-US/p/lifeless-planet-premier-edition,8891a362aacf45e68b618eced3b4ba00,9ce4c6f216cf43e7ba5eff1045b6e08d,1999.0,$19.99,"['1216', '1370', '9547', '1117', '1263', '15375']",,"[{'id': '1216'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1263'}, {'id': '15375'}]",True,True,False,False,False,False,False,False,True,True,False
357,357,357,120,Killing Floor 2,7/9/2020,7/16/2020,https://store.epicgames.com/en-US/p/killing-floor-2,85f5ff10c31c4cd99978f4d57d3ec97a,affc33b82405457595a032f00284abd2,2999.0,$29.99,"['1216', '1185', '1218', '21122', '1188', '21894', '21129', '9547', '1294', '15375', '1264', '21138', '1203', '21139', '21140', '21109', '21141', '1080', '1210', '21149', '21119']",,"[{'id': '1216'}, {'id': '1185'}, {'id': '1218'}, {'id': '21122'}, {'id': '1188'}, {'id': '21894'}, {'id': '21129'}, {'id': '9547'}, {'id': '1294'}, {'id': '15375'}, {'id': '1264'}, {'id': '21138'}, {'id': '1203'}, {'id': '21139'}, {'id': '21140'}, {'id': '21109'}, {'id': '21141'}, {'id': '1080'}, {'id': '1210'}, {'id': '21149'}, {'id': '21119'}]",True,False,False,False,True,False,True,False,True,False,True
