,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Link,id,descr,namespace,orig_price,fmt_orig_price,tags,seller,taglist,action,adventure,puzzle,rpg,shooter,strategy,survival,osx,windows,singleplayer,multiplayer
33,33,33,444,Deliver Us Mars,11/23/2023,11/30/2023,https://store.epicgames.com/en-US/p/deliver-us-mars,34c8b5efd29f48209928d74752584426,"Deliver Us Mars is an atmospheric sci-fi adventure taking you on a suspense-fuelled, high-stakes mission to recover the ARK colony ships stolen by the mysterious Outward.",53ec6d9f552241549c4d8aa1a42bcb3b,2999.0,$29.99,"['1216', '19847', '1370', '9547', '1117', '1263', '15375']",,"[{'id': '1216'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1263'}, {'id': '15375'}]",True,True,False,False,False,False,False,False,True,True,False
34,34,34,443,Surviving the Aftermath,11/16/2023,11/23/2023,https://store.epicgames.com/en-US/p/surviving-the-aftermath,eb081710a4b64e068c8881a138d9de3f,Surviving the Aftermath,epic,2499.0,$24.99,"['1393', '1146', '1370', '1115', '9547']",,"[{'id': '1393'}, {'id': '1146'}, {'id': '1370'}, {'id': '1115'}, {'id': '9547'}]",False,False,False,False,False,True,False,False,True,True,False
35,35,35,442,Earthlock,11/16/2023,11/23/2023,https://store.epicgames.com/en-US/p/earthlock-e7d979,54412e4f88824cb2a3f1dbb604b59c16,"Don’t let the cute cartoonish art style fool you. This game is challenging. True fans of the JRPG genre will love it, casual players may want to look elsewhere. Invest the time, and EARTHLOCK will reward you with a depth in gameplay that will test the most strategic of players.",5c82c05d2978489090d30c05e17e6e12,2999.0,$29.99,"['1287', '1367', '1370', '1386', '9547', '35244', '9549']",Snowcastle Games,"[{'id': '1287'}, {'id': '1367'}, {'id': '1370'}, {'id': '1386'}, {'id': '9547'}, {'id': '35244'}, {'id': '9549'}]",False,False,False,False,False,False,False,False,True,True,False
36,36,36,441,Golden Light,11/9/2023,11/16/2023,https://store.epicgames.com/en-US/p/golden-light-f543b3,f787056536bf43298e39305a0c5c20c8,"Eat weapons, be scared and question your own mind in this Survival-Horror FPS Prop Hunt Roguelike about meat. Walls are watching you!",ca05bd340e84436ebea4a0c0ca55befa,1999.0,$19.99,"['1216', '19847', '1370', '9547', '1084', '1198']",,"[{'id': '1216'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '1084'}, {'id': '1198'}]",True,False,False,False,False,False,False,False,True,True,False
37,37,37,440,Turnip Boy Commits Tax Evasion,11/2/2023,11/9/2023,https://store.epicgames.com/en-US/p/turnip-boy-commits-tax-evasion-fb2084,e0282b701ea04c42ac1b5a55c1a3bfde,"Play as an adorable yet trouble-making turnip. Avoid paying taxes, solve plantastic puzzles, harvest crops and battle massive beasts all in a journey to tear down a corrupt vegetable government!",80be39e522204fd0942916d73234d044,1499.0,$14.99,"['1296', '1336', '1370', '9547', '9549', '1263', '15375']",,"[{'id': '1296'}, {'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}, {'id': '15375'}]",False,False,False,False,False,False,False,False,True,True,False
38,38,38,439,The Evil Within 2,10/26/2023,11/2/2023,https://store.epicgames.com/en-US/p/the-evil-within-2,77693e5298d94911a0edd2492203d9ea,"To save his daughter, Detective Sebastian Castellanos returns to a world of nightmares in The Evil Within 2. 
 
Fight for your life inside a terrifying reality using weapons, traps and stealth in this survival horror follow-up from Tango Gameworks.",5891aa5c4c6f4aabbf555a679e02cfb9,3999.0,$39.99,"['1218', '21122', '19847', '21127', '9547', '15375', '21138', '21139', '21140', '21141', '1080', '1210', '1370', '21149', '21119']",,"[{'id': '1218'}, {'id': '21122'}, {'id': '19847'}, {'id': '21127'}, {'id': '9547'}, {'id': '15375'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1080'}, {'id': '1210'}, {'id': '1370'}, {'id': '21149'}, {'id': '21119'}]",False,False,False,False,True,False,True,False,True,True,False
39,39,39,438,Tandem: A Tale of Shadows,10/26/2023,11/2/2023,https://store.epicgames.com/en-US/p/tandem-a-tale-of-shadows-c3f55e,9142916d80f54720b01f8f62b21014be,Tandem : A Tale of Shadows redefines the puzzle platformer genre with a unique gameplay and exceptional aesthetics. Help Emma and the teddy bear Fenton solve the mystery of the disappearance of the famous magician Thomas Kane.,d1a3ff292b2f4ee289a83d7a91ae3458,999.0,$9.99,"['1298', '1336', '1370', '9547', '1151', '15375']",,"[{'id': '1298'}, {'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '1151'}, {'id': '15375'}]",False,False,True,False,False,False,False,False,True,True,False
40,40,40,437,The Evil Within,10/19/2023,10/26/2023,https://store.epicgames.com/en-US/p/the-evil-within,087155540ecc47239c98c1265b40ba99,"Developed by Tango Gameworks and directed by Resident Evil series creator Shinji Mikami, The Evil Within embodies pure survival horror. 

As Detective Sebastian Castellanos, fight for survival with limited resources in a twisted world of nightmares.",d602fd70876141ba9bf4d54809c423d1,1999.0,$19.99,"['1218', '21122', '19847', '21127', '21129', '9547', '15375', '21137', '21138', '21139', '21140', '21141', '1080', '1210', '1370', '21149']",,"[{'id': '1218'}, {'id': '21122'}, {'id': '19847'}, {'id': '21127'}, {'id': '21129'}, {'id': '9547'}, {'id': '15375'}, {'id': '21137'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1080'}, {'id': '1210'}, {'id': '1370'}, {'id': '21149'}]",False,False,False,False,True,False,True,False,True,True,False
41,41,41,436,Eternal Threads,10/19/2023,10/26/2023,https://store.epicgames.com/en-US/p/eternal-threads-197169,921e40c4c69f4d728914ca2a4f0aa407,"Eternal Threads is a single-player, first-person story-driven puzzle game of time manipulation, choice and consequence.",35eda4ff87f94a7491dc28175b8f3b4f,1999.0,$19.99,"['1298', '19847', '1370', '9547', '1117', '1263']",,"[{'id': '1298'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1263'}]",False,True,True,False,False,False,False,False,True,True,False
42,42,42,435,Q.U.B.E. 2 Season Pass,10/12/2023,10/19/2023,https://store.epicgames.com/en-US/bundles/qube-ultimate-bundle,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False
